ID,Title,Url,Source,Description,Date,Article,Sentiment
31,"Sensex down more than 150 pts, set to end on weak note",http://www.sify.com/finance/sensex-down-more-than-150-pts-set-to-end-on-weak-note-news-sensex-oeepnWabeag.html,Sify,"Metal and consumer durables stocks are mixed, while realty stocks are in demand. NTPC, BHEL, Bharti Airtel, GAIL India, Tata Motors, Tata Consultancy Services, Larsen & Toubro, Sun Pharmaceutical Industries and Mahindra & Mahindra are down 1% ...",2014-04-04T07:53:43Z,"With profit taking dragging down quite a few front line stocks, the market looks headed for a weak close today, extending previous session's losses. The mood is quite cautious ahead of beginning of Lok Sabha Elections. Also, with most of the markets in Asia and Europe turning in a somewhat lackluster performance today ahead of the crucial U.S. jobs report, investors are quite reluctant to indulge in any big buying. The Sensex is down 156.71 points or 0.7% at 22,352.36. The Nifty is down 40.10 points or 0.6% at 6696. Capital goods, power, automobile and information technology stocks are among the notable losers. Oil and FMCG stocks are also trading weak. Pharmaceutical and bank stocks have come off their highs due to stiff resistance. Metal and consumer durables stocks are mixed, while realty stocks are in demand. NTPC, BHEL, Bharti Airtel, GAIL India, Tata Motors, Tata Consultancy Services, Larsen & Toubro, Sun Pharmaceutical Industries and Mahindra & Mahindra are down 1% - 2.2%. ",Negative
32,"Sensex slips 150 points; auto, capital goods lose",http://www.indileak.com/sensex-slips-150-points-auto-capital-goods-lose/,indileak.com,"The main losers were: BHEL, down 1.95 percent at Rs 183.95; NTPC, down 1.95 percent at Rs 120.55; Bharti Airtel, down 1.74 points at Rs 316.25; Tata Motors, down 1.50 points at Rs 405.10; and Gail India, down 1.48 percent at Rs 362.60. Among the Asian ...",2014-04-04T11:57:06Z,"A benchmark index of Indian equities markets closed in the negative territory for the second consecutive session on Friday as automobile, capital goods and information technology (IT) stocks declined. It touched a high of 22,525.21 points and a low of 22,339.40 intra-day. It touched a high of 22,525.21 points and a low of 22,339.40 intra-day. Markets were cautious ahead of the five-week general election polling exercise due to begin April 7, while profit booking in blue chip stocks pulled the market down from its several sessions of record highs touched recently. The 30-scrip S&P Sensex of the Bombay Stock Exchange (BSE), which opened at 22,522.46 points, closed at 22,359.50 points — down 149.57 points or 0.66 percent from its previous day’s close at 22,509.07 points. It touched a high of 22,525.21 points and a low of 22,339.40 intra-day. The wider 50-scrip Nifty of the National Stock Exchange (NSE) too closed in negative territory. It closed at 6,694.35 points — down 41.75 points or 0.62 percent. In Friday’s trade, stocks like automobile, capital goods, IT, oil and gas technology, entertainment and media (TECk) and fast moving consumer goods (FMCG) came under sustained selling pressure. However, metal and consumer durables stocks rose. The S&P BSE automobile index lost 134.54 points, capital goods index was down 89.27 points, IT index was lower by 85.52 points, followed by oil and gas index which edged lower by 48.09 points, TECk index fell 45.95 points and FMCG index declined by 39.41 points. However, the metal index rose by 25.29 points, followed by consumer durables index — up 14.03 points. The major Sensex gainers were: Cipla, up 1.98 percent at Rs 404.10; Tata Steel, up 0.84 percent at Rs 401.90; State Bank of India (SBI), up 0.47 percent at Rs 1,904.25; Hindalco Inds, up 0.44 percent at Rs 137.65; and Coal India, up 0.41 percent at Rs 282. The main losers were: BHEL, down 1.95 percent at Rs 183.95; NTPC, down 1.95 percent at Rs 120.55; Bharti Airtel, down 1.74 points at Rs 316.25; Tata Motors, down 1.50 points at Rs 405.10; and Gail India, down 1.48 percent at Rs 362.60.",Negative
33,Sensex ends six-day rally on profit booking; closes down 42 points,http://post.jagran.com/sensex-ends-sixday-rally-on-profit-booking-closes-down-42-points-1396526115,Post,"In 30-BSE index components, 17 stocks declined led by Reliance Industries, ICICI Bank, Axis Bank, State Bank of India, HDFC Bank, Bajaj Auto, Bharti Airtel and BHEL. Market supporters were Infosys, Cipla, Dr Reddy's Lab., Hindustan Unilever, Maruti Suzuki ...",2014-04-03T10:25:13Z,"In morning trade the 30-share index touched new all-time high of 22,620.65 points, for the ninth day in a row. However, the index could not sustain the momentum and succumbed to profit booking later. The barometer closed down by 42.42 points, or 0.19 percent, to 22,509.07 points. It touched a low of 22,369.28 during the day. The broad-based Nifty of the National Stock Exchange eased by 16.45 points, or 0.24 percent, to 6,736.10, after climbing to record high of 6,776.75. It touched a low of 6,696.90 in the day. Brokers said the market was in over bought position following recent record setting spree and fell on profit selling in banking stocks following a slide in bonds. They said the falling trend was partially checked as healthcare, FMCG and metal stocks gained on selective buying at the fag-end by retail investors. In 30-BSE index components, 17 stocks declined led by Reliance Industries, ICICI Bank, Axis Bank, State Bank of India, HDFC Bank, Bajaj Auto, Bharti Airtel and BHEL.",Negative
34,"Voda, Airtel apply for Unified Licence",http://freepressjournal.in/voda-airtel-apply-for-unified-licence/,freepressjournal.in,"Bharti Airtel has also applied for new licences in Delhi and Kolkata circles, sources said. The new telecom permit will lead to Vodafone selling its 4.4 per cent indirect stake in Bharti Airtel. Based on todayâ€™s closing price of Rs 324.75 per share on ...",2014-04-03T05:31:44Z,"Telecom major Vodafone and Airtel have applied for new telecom permits – Unified Licence – to continue their businesses in some service areas, including Delhi and Mumbai. “As required under the conditions of auction, laid down in the Notice Inviting Application, Vodafone has applied for Unified Licence in Delhi, Mumbai & Kolkata service areas on 19 February 2014,” Vodafone said in a statement. Bharti Airtel has also applied for new licences in Delhi and Kolkata circles, sources said. The new telecom permit will lead to Vodafone selling its 4.4 per cent indirect stake in Bharti Airtel. Based on today’s closing price of Rs 324.75 per share on BSE, the market valuation of Airtel was about Rs 1,30,355 crore. At this level, 4.4 per cent stake would be worth over Rs 5,700 crore. The Unified Licences norms bar a telecom operator from holding any kind of stake in competitor. The two companies did not comment on the matter of stake sale. Vodafone and Airtel bought spectrum afresh for continuing their services in respective circles as their 20-year licence period will expire in November. In a letter to the telecom ministry in July 2013, Vodafone had said that it holds 4.4 per cent stake indirectly in Bharti Airtel.",Average
35,Indiaâ€™s Sensex Climbs to Record Ahead of Rate Decision Tomorrow,http://www.bloomberg.com/news/2014-03-31/india-nifty-futures-rise-as-equity-gauges-head-for-monthly-gain.html,Bloomberg,"State Bank of India rose to its highest level since July, pacing a rally among lenders. Bharti Airtel Ltd. (BHARTI), the nationâ€™s largest mobile-phone operator, gained for a seventh day, its longest winning run streak in more than four years.",2014-03-31T02:29:11Z,"Indian stock advanced for a fourth day, with the benchmark index headed for a record ahead of the central bank’s monetary policy tomorrow. State Bank of India rose to its highest level since July, pacing a rally among lenders. Bharti Airtel Ltd. (BHARTI), the nation’s largest mobile-phone operator, gained for a seventh day, its longest winning run streak in more than four years. NTPC Ltd., India’s biggest power producer, climbed the most in six weeks. The S&P BSE Sensex (SENSEX) added 0.5 percent to 22,445.09 at 9:56 a.m. in Mumbai. The gauge is on course for the sharpest monthly increase in five months after foreign investors extended Asia’s largest equity-market inflows and the rupee strengthened to an eight-month high. Banks from Morgan Stanley to HSBC Holdings Plc expect the Reserve Bank of India to halt raising interest rates as inflation slows. “Inflation has softened and in view of the improving economic scenario we believe the RBI has reasons to put rates on hold,” Hemant Kanawala, head of equities at Kotak Mahindra Old Mutual Life Insurance Ltd., which has $2 billion in assets, said in an interview to Bloomberg TV India today. RBI Governor Raghuram Rajan, who increased the repurchase rate thrice since he took office in September, will maintain the benchmark at 8 percent, according to 34 of 36 economists surveyed by Bloomberg. Two see an increase to 8.25 percent. Consumer-price (INFUTOTY) gains cooled to 8.1 percent in February from 11.2 percent in November, the highest in at least two years, government data show. The Sensex has risen 6 percent this quarter, beating stock indexes in Brazil, Russia and China, as improving government finances, cooling inflation and forecasts for a change in government after elections starting next month attract inflows. Foreign funds have plowed $9.3 billion into local shares and bonds this year, the most among eight Asian markets tracked by Bloomberg. The rupee has rebounded 15 percent from a record low in August as global investors pour money into Indian assets. They bought a net $375.4 million of shares on March 27, a 12th day of inflows, data compiled by Bloomberg show. The Sensex trades at 14.1 times projected 12-month earnings, compared with the average multiple of 14.5 over the past five years. The MSCI Emerging Markets Index is valued at 9.9 times. ",Positive
36,"Bharti Telecom buys Airtelâ€™s shares for Rs 172 cr, hikes stake",http://freepressjournal.in/bharti-telecom-buys-airtels-shares-for-rs-172-cr-hikes-stake/,freepressjournal.in,New Delhi: Countryâ€™s largest telecom operator Bharti Airtel today said one of its promoter group entity Bharti Telecom has bought 57.14 lakh shares of the company for Rs 171.92 crore through various market transactions. Bharti Telecom stake in the ...,2014-03-28T11:15:17Z,"Country’s largest telecom operator Bharti Airtel today said one of its promoter group entity Bharti Telecom has bought 57.14 lakh shares of the company for Rs 171.92 crore through various market transactions. Bharti Telecom stake in the company has been now been raised to 43.72 per cent, the company said in a BSE filing. Bharti Telecom bought 13.04 lakh shares for Rs 38.18 crore at NSE and 54,000 shares for Rs 1.58 crore at BSE on March 25, thus raising the stake marginally from 43.57 per cent to 43.61 per cent, the filing said. Additionally Bharti Telecom purchased 22.71 lakh shares for Rs 67.53 crore at NSE and 1.34 lakh shares for Rs 3.99 crore at BSE on March 26, which led its stake to increase to 43.67 per cent. Besides on March 27, the promoter group entity bought 17.50 lakh scrips for Rs 54.41 crore at NSE and 2 lakh shares for Rs 6.2 crore at BSE, further raising the stake to 43.72 per cent, it added. As on quarter ended December 2013, Bharti Telecom held 43.57 per cent stake in the company. The promoter group had 65.23 per cent in the company at the same period. Shares of Bharti Airtel today closed at Rs 316.55 apiece, up 1.88 per cent in the afternoon trade on the BSE.",Average
37,"Sensex, Nifty Rise For The Sixth Day As Foreign Funds Pour In",http://www.siliconindia.com/finance/news/Sensex-Nifty-Rise-For-The-Sixth-Day-As-Foreign-Funds-Pour-In-nid-163924.html,Silicon India,"Cipla rose by 2 per cent while Dr Reddyâ€™s was up close to 1 per cent. In 30-BSE index-components, 19 stocks gained. Bharti Airtel rose the most by 3.34 per cent among Sensex scrips after brokerage firm CLSA said that the company with 201 million ...",2014-04-02T11:30:50Z,"Cipla rose by 2 per cent while Dr Reddy’s was up close to 1 per cent. In 30-BSE index-components, 19 stocks gained. Bharti Airtel rose the most by 3.34 per cent among Sensex scrips after brokerage firm CLSA said that the company with 201 million subscribers is best placed to take a lead in the data ramp-up in the country",Positive
38,Qualcomm to Divest Indian Venture,https://sg.finance.yahoo.com/news/qualcomm-divest-indian-venture-162019103.html,Yahoo Singapore Finance,"In 2011, The Economic Times reported that Bharti Airtel may offer around $1.2â€“$1.3 billion to acquire the remaining 74% stake of the venture. In May 2012, Qualcomm sold a 49% stake in the holding company to Bharti Airtel for $165 million.",2014-03-31T16:19:32Z,"Qualcomm Inc. (QCOM) recently received the regulatory approval in India to divest its remaining stake in Broadband Wireless Access (BWA) spectrum to the local operator Bharti Airtel. In 2010, Government of India conducted a spectrum auction for both 3G network and broadband wireless access. Qualcomm paid $1.045 billion to obtain the BWA operating license in four major service areas of New Delhi, Mumbai, Kerala and Haryana. Qualcomm initially planned to divest its full stake after creating a next-generation (4G) LTE (Long-Term Evolution) network to roll out super-fast broadband wireless access services. The fast-growing broadband market is attracting substantial investments for deploying LTE networks in India. In Jul 2010, Qualcomm sold 24% stake of its Indian broadband venture to Indian telecom operators Global Holdings Corp. and Tulip Telecom Ltd. for a consideration of around $58 million. In 2011, The Economic Times reported that Bharti Airtel may offer around $1.2–$1.3 billion to acquire the remaining 74% stake of the venture. In May 2012, Qualcomm sold a 49% stake in the holding company to Bharti Airtel for $165 million. In Oct 2012, Bharti Airtel raised its stake to 93.45% in the holding company. With the permission from the Indian regulator, Department of Telecommunications (DOT.V), Bharti Airtel can now have full ownership of the holding company. In 2012, Qualcomm sold the 700 MHz wireless spectrum of its filed mobile TV venture called “FLO TV”, to AT&T Inc. (T) for $1.925 billion. In 2013, the company sold its subsidiary Omnitracs Inc. to Vista Equity Partners, a U.S.-based private equity firm, for $800 million.",Positive
39,"Sensex, Nifty extend record run after EC nod for bank licences",http://www.livemint.com/Money/1jv3w7NF25nwDsUPcJv6IK/Sensex-hits-record-for-eighth-straight-session.html,Live Mint,"Bharti Airtel Ltd. gained 3.3% after CLSA said the wireless services provider ""is best placed to ride the data boom in India."" CLSA cited Bhartiâ€™s 72% mobile market share would allow it to benefit most from a jump in mobile data subscribers.",2014-04-02T07:05:59Z,"The BSE Sensex touched a new high for the eighth straight session on Wednesday and non-banking financial companies (NBFCs) such as IDFC Ltd. surged after the Election Commission allowed the Reserve Bank of India (RBI) to announce new bank licences. Heavy foreign buying continued to underpin the recent rally with overseas investors buying Indian shares worth Rs385 crore on Tuesday after a totalling $3.3 billion in March. Blue chips also tracked higher global shares on Wednesday as investors focused on the good news in a mixed bag of international economic data. The US jobs data due on Friday and the Lok Sabha elections, beginning this month, are widely expected to drive shares in the near term. Investors see India’s main opposition Bharatiya Janata Party (BJP), perceived more business-friendly, holding higher chances of coming to power. “Practically positions can be kept but strategically they should be shifted or pared after such a strong rally,” Aneesh Srivastava, chief investment officer at IDBI Federal Life Insurance, said. The Sensex rose as much as 0.65% to an all-time high of 22,592.10, while Nifty gained 0.63% to a record high of 6,763.50. The Sensex and the Nifty ended up 0.47% each. Potential bank licence candidates led the gainers: IDFC Ltd surged 3.8% and LIC Housing Finance Ltd. rose 4.7%. The Election Commission on Tuesday allowed the RBI to announce new bank licences even ahead of Lok Sabha elections. The central bank had sought the commission’s approval to ensure the process would not clash with the code of conduct, which revents decisions that may be deemed as political from being taken by government officials or regulators. Among blue chip stocks, Reliance Industries Ltd. (RIL) and Larsen & Toubro Ltd. (L&T) rose 1.7% each after earlier marking their 52-week high at Rs962 and Rs1,310 respectively. Bharti Airtel Ltd. gained 3.3% after CLSA said the wireless services provider “is best placed to ride the data boom in India.” CLSA cited Bharti’s 72% mobile market share would allow it to benefit most from a jump in mobile data subscribers.",Positive
40,Indian Shares Modestly Higher In Early Trade,http://www.rttnews.com/2294528/indian-shares-modestly-higher-in-early-trade.aspx,Realtime Business News,"Bharti Airtel is gaining 2.4 percent. Kenya's telecom regulator granted conditional approval to Safaricom and a unit of Bharti Airtel to acquire the assets of Essar Telecom Kenya. GMR Infrastructure is rallying 3.2 percent. Its unit, GMR Energy ...",2014-03-31T00:27:29Z,"The Indian markets rose further to touch fresh record highs on Monday, with sentiment bolstered by sustained buying from foreign institutional investors. The other Asian markets are also trading mostly higher, reflecting hopes that China would unveil further stimulus to support growth. The benchmark 30-share S&P BSE Sensex is currently up 107 points or 0.48 percent at 22,447, with 25 of its components advancing. The broader CNX Nifty index is up 23 points or 0.35 percent at 6,719, while the BSE mid-cap and small-cap indexes are up more than a percent each. Bharti Airtel is gaining 2.4 percent. Kenya's telecom regulator granted conditional approval to Safaricom and a unit of Bharti Airtel to acquire the assets of Essar Telecom Kenya.",Positive
41,Emerging-Market Stocks Advance as Ibovespa Erases 2014 Decline,http://www.businessweek.com/news/2014-04-02/emerging-stocks-erase-2014-drop-as-growth-outlook-spurs-inflows,Businessweek,Bharti Airtel Ltd. (BHARTI) rallied to the highest since Jan. 15 amid a report that the nationâ€™s largest carrier plans a $2 billion bond sale to lower debt costs. Wockhardt Ltd. (WPL) surged by the daily limit amid speculation the U.S ...,2014-04-02T04:57:08Z,"Russia’s ruble weakened the most in a month and stocks retreated, while the government sold fewer bonds than offered at its first auction in five weeks. Russia will resume buying foreign exchange in days for the Reserve Fund, Finance Minister Anton Siluanov said in Moscow today. The Shanghai Composite Index (SHCOMP) rose 0.6 percent as a gauge of real-estate shares jumped to a six-week high after the Shanghai Securities News said some Chinese cities are discussing easing curbs on home purchases. India’s benchmark stock index rose to a record for a sixth day as international investors extended Asia’s largest equity-market inflows. Bharti Airtel Ltd. (BHARTI) rallied to the highest since Jan. 15 amid a report that the nation’s largest carrier plans a $2 billion bond sale to lower debt costs. Wockhardt Ltd. (WPL) surged by the daily limit amid speculation the U.S. regulator may ease an import ban on Indian drugs. ",Positive
42,"Nifty ends March series above 6600; SBI, Bharti big gainers",http://www.domain-b.com/investments/markets/general/20140327_markets.html,Domain-b,"About 1668 shares have advanced, 1105 shares declined, and 158 shares are unchanged. SBI, Bharti Airtel, Hero Motocorp, GAIL and NTPC were big gainers in the Sensex. Among the losers were Dr Reddy's Labs, Sesa Sterlite, Tata Motors, Sun Pharma and Infosys.",2014-03-27T10:47:51Z,"It is a record closing of March F&O series with the Nifty ending at 6642, up 40.35 points. The Sensex was up 119.07 points at 22214.37. About 1668 shares have advanced, 1105 shares declined, and 158 shares are unchanged. SBI, Bharti Airtel, Hero Motocorp, GAIL and NTPC were big gainers in the Sensex. Among the losers were Dr Reddy's Labs, Sesa Sterlite, Tata Motors, Sun Pharma and Infosys.",Positive
43,Sensex ends 149 points down; IT stocks hit,http://www.greaterkashmir.com/news/2014/Apr/5/sensex-ends-149-points-down-it-stocks-hit-23.asp,Greater Kashmir,"In 30-BSE index components 25 stocks declined while five ended with gains. Major losers were Infosys, Tata Consultancy Services, Wipro, Reliance Industries, Bajaj Auto, Bharti Airtel, BHEL, GAIL India, HDFC, ICICI Bank, ITC and Larsen and Toubro.",2014-04-04T18:16:29Z,"The BSE benchmark index Sensex on Friday fell further by 149 points on sustained selling by funds in auto and IT stocks, judging the recent rally an overdone. The 30-share index, which had slipped from record levels by 42 points in the previous sessions, fell further by 149.57 points, or 0.66 per cent, to close at 22,359.50 points. The broad-based Nifty of the National Stock Exchange fell by 41.75 points, or 0.62 per cent, to 6,694.35. Brokers said the market was in over-bought position and started rolling back on profit booking at higher levels as investors turned cautious on approaching elections. The Sensex surged 1,266 points in March as foreign institutional investors bought USD 4.27 billion of equities and bonds this year. IT stocks were down before the fourth quarter earning session beginning with Infosys on April 15. In 30-BSE index components 25 stocks declined while five ended with gains. Major losers were Infosys, Tata Consultancy Services, Wipro, Reliance Industries, Bajaj Auto, Bharti Airtel, BHEL, GAIL India, HDFC, ICICI Bank, ITC and Larsen and Toubro.",Negative
44,"Sensex ends above 22,500-level",http://www.deccanherald.com/content/396161/sensex-ends-above-22500-level.html,Deccan Herald,"State-run SBI gained 2.06 per cent, ICICI Bank 1.53 per cent and HDFC 1.09 per cent.Bharti Airtel at 3.34 per cent was the day's biggest gainer, followed by Tata Motor at 2.62 per cent. Cipla was 2.00 per cent, ONGC 1.96 per cent, Larsen 1.85 per cent ...",2014-04-02T10:40:44Z,"The BSE benchmark Sensex today surpassed the 22,500-level to set a new closing high for the sixth day in succession on the back of persistent foreign capital inflows and positive global cues. The barometer opened the day on a stronger note and spurted further to its all-time record of 22,592.10 intra-day, with realty, refinery, healthcare, capital goods, power and consumer durable counters attracting buying. The Sensex finally ended the day at life-time closing high of 22,551.49, a rise of 105.05 points or 0.47 per cent from its previous close. It had set new high levels at close in the previous five days as well. The 50-share NSE Nifty gained 31.50 points or 0.47 per cent to finish at 6,752.55, after registering an all-time high of 6,763.50 intra-day. Foreign institutional investors (FIIs) continued their buying spree as they bought shares worth a net Rs 385.66 crore yesterday, as per provisional data from stock exchanges. ""For yet another session, markets were seen scaling to new heights on the back of positive domestic cues. Clearance from the Election Commission for announcement of new bank licenses to RBI before the outcome of general elections triggered buying in financial space and later resumed by the other banking counters as well,"" said Jayant Manglik, President, Retail Distribution, Religare Securities. State-run SBI gained 2.06 per cent, ICICI Bank 1.53 per cent and HDFC 1.09 per cent.Bharti Airtel at 3.34 per cent was the day's biggest gainer, followed by Tata Motor at 2.62 per cent. ",Positive
45,Indiaâ€™s GSM base grows to slightly over 711M subscribers in February,http://www.topnews.in/india-s-gsm-base-grows-slightly-over-711m-subscribers-february-2391693,Top News,"Mobile phone operator Bharti Airtel led the market with 200.84 million GSM customers, but industry association COAI reported no net additions for the operator for the month of February because of some technical difficulties with operator's system.",2014-03-31T07:01:12Z,"India's overall GSM user base grew by 7.61 million subscribers to 711.02 million in February this year, according to fresh data released by the Cellular Operators Association of India (COAI). Mobile phone operator Bharti Airtel led the market with 200.84 million GSM customers, but industry association COAI reported no net additions for the operator for the month of February because of some technical difficulties with operator's system. Vodafone's GSM user base grew by 2.16 million to 164.34 million subscribers, while Idea Celluar added 3.33 million new customers to end the month under review with 133.55 million subscribers. Idea Cellular, which gained the highest number of new customers during February, ended the month with a market share of 18.78 per cent. State-run operator BSNL ended the month with 97.17 million GSM customers and COAI listed no net additions. Aircel added 702,934 new customers to end the month with a total of 69.15 million GSM customers. Telewings, which came into existence after Telenor's break up with Unitech, gained 970,894 new subscribers, while Videocon added 433,738 new customers. State-run Mahanagar Telephone Nigam Ltd (MTNL) gained just 12,358 new customers during the month. Telecom circle-wise, Uttar Pradesh (East) added the maximum number of subscribers (62.47 million) during the month under review.",Positive
46,Indian shares extend record run,http://www.brecorder.com/market-data/stocks-a-bonds/0/1169745/,Business Recorder,"Bharti Airtel Ltd gained 3.3 percent after CLSA said the wireless services provider ""is best placed to ride the data boom in India."" CLSA cited Bharti's 72 percent mobile market share would allow it to benefit most from a jump in mobile data ...",2014-04-03T15:25:52Z,"Indian shares touched a new high for the eighth straight session on Wednesday and non-bank financial companies such as IDFC Ltd surged after the election commission allowed the central bank to announce new bank licences. Heavy foreign buying continued to underpin the recent rally with overseas investors buying Indian shares worth 3.85 billion rupees ($64.5 million) on Tuesday after a totalling $3.3 billion in March. Bluechips also tracked higher global shares on Wednesday as investors focused on the good news in a mixed bag of international economic data. US jobs data due on Friday and India's general elections, beginning this month, are widely expected to drive shares in the near term. Investors see India's main opposition Bharatiya Janata Party, perceived more business-friendly, holding higher chances of coming to power. ""Practically positions can be kept but strategically they should be shifted or pared after such a strong rally,"" Aneesh Srivastava, chief investment officer at IDBI Federal Life Insurance, said. The BSE index rose as much as 0.65 percent to an all-time high of 22,592.10, while the NSE index gained 0.63 percent to a record high of 6,763.50. The benchmark BSE index and the NSE index ended up 0.47 percent each. Potential bank licence candidates led the gainers: IDFC Ltd surged 3.8 percent and LIC Housing Finance rose 4.7 percent. India's election commission on Tuesday allowed the Reserve Bank of India to announce new bank licences even ahead of general elections. The central bank had sought the commission's approval to ensure the process would not clash with the code of conduct, which prevents decisions that may be deemed as political from being taken by government officials or regulators. Among bluechip stocks, Reliance Industries Ltd and Larsen & Toubro Ltd rose 1.7 percent each after earlier marking their 52-week high at 962 rupees and 1,310 rupees respectively. Bharti Airtel Ltd gained 3.3 percent after CLSA said the wireless services provider ""is best placed to ride the data boom in India."" CLSA cited Bharti's 72 percent mobile market share would allow it to benefit most from a jump in mobile data subscribers. ",Positive
47,Indian Shares Flat In Early Trade,http://www.nasdaq.com/article/indian-shares-flat-in-early-trade-20140403-00005,NASDAQ,Bharti Airtel is edging down 0.1 percent. The telecom operator has extended a contract with IBM to manage Airtel's IT infrastructure and application services in the country for five years. IDBI Bank is down 0.4 percent after the public sector ...,2014-04-03T04:27:19Z,"Indian shares opened largely unchanged on Thursday despite firm global cues. However, underlying sentiment remains positive after the Reserve Bank of India granted in-principle approval to IDFC and unlisted microfinance lender Bandhan Financial Services to roll out new banks. The Asian markets are trading mostly higher after China announced a slew of pro-growth measures including railway spending and tax relief to support the economy. The benchmark S&P BSE Sensex is currently down 14 points or 0.06 percent at 22,537, while the broader CNX Nifty index is down 9 points or 0.13 percent at 6,743. Infrastructure lender IDFC is rallying 4.2 percent after it has been selected by the RBI to set up a new bank. Shares of other banking aspirants are losing ground. Shriram Transport Finance is losing 2.5 percent, Bajaj Finance is declining 2.3 percent and LIC Housing Finance is down 1.3 percent. Jet Airways is down 1.1 percent and low-cost airline SpiceJet is down marginally. The Ministry of Civil Aviation has given a no-objection certificate to Tata SIA Airlines, the joint venture between Tata Sons and Singapore Airlines, to start a full-service airline. Petronet LNG is moving down 0.6 percent on reports Oman is keen to buy a 20 percent stake in its LNG import terminal being set up on the east coast. Bharti Airtel is edging down 0.1 percent. The telecom operator has extended a contract with IBM to manage Airtel's IT infrastructure and application services in the country for five years.",Average
48,Indian Shares Fall For Second Day,http://www.rttnews.com/2297705/indian-shares-fall-for-second-day.aspx,Realtime Business News,"Among individual stocks, Reliance Industries, Mahindra & Mahindra, HDFC, Bajaj Auto, Larsen & Toubro, Tata Power, TCS, Wipro, Tata Motors, Bharti Airtel, NTPC and BHEL fell 1-2 percent. PSU stocks were in focus, with ONGC closing flat and Gail India ...",2014-04-04T07:17:55Z,"Indian shares fell for a second consecutive session on Friday as investors indulged in profit taking awaiting cues from the all-important U.S. jobs data due out later in the day. Concerns that the RBI may prevent extensive appreciation in the rupee also hurt investor sentiment. The central bank has been buying dollars intermittently to shore up its foreign exchange reserves. An exchange rate of 55 per dollar for rupee would be too strong, the Mint newspaper quoted RBI Governor Raghuram Rajan as saying. The benchmark S&P BSE Sensex fell 149.57 points or 0.66 percent to 22,359.50, while the broader CNX Nifty Index dropped 41.75 points or 0.62 percent to 6,694.35. The rupee last traded off its day's lows at 60.20/21 per dollar. Auto, IT and capital goods stocks paced the declines. Among individual stocks, Reliance Industries, Mahindra & Mahindra, HDFC, Bajaj Auto, Larsen & Toubro, Tata Power, TCS, Wipro, Tata Motors, Bharti Airtel, NTPC and BHEL fell 1-2 percent. ",Negative
49,Sensex Ends 6-Day Rally On Profit Booking; Closes Down 42 Pts,http://www.siliconindia.com/finance/news/Sensex-Ends-6Day-Rally-On-Profit-Booking-Closes-Down-42-Pts--nid-164165.html,Silicon India,"In 30-BSE index components, 17 stocks declined led by Reliance Industries, ICICI Bank, Axis Bank, State Bank of India, HDFC Bank, Bajaj Auto, Bharti Airtel and BHEL. Market supporters were Infosys, Cipla, Dr Reddy's Lab., Hindustan Unilever, Maruti Suzuki ...",2014-04-03T11:51:07Z,"The BSE benchmark index Sensex fell from record levels and closed down by 42 points due to profit booking at higher levels mainly in banking and oil stocks, ending its six-day gaining spree. In early trade the 30-share index touched new all-time high of 22,620.65 points, for the ninth day in a row. However, the index could not sustain the momentum and succumbed to profit booking later. The barometer closed down by 42.42 points, or 0.19 per cent, to 22,509.07 points. It touched a low of 22,369.28 during the day. The broad-based Nifty of the National Stock Exchange eased by 16.45 points, or 0.24 per cent, to 6,736.10, after climbing to record high of 6,776.75. It touched a low of 6,696.90 in the day. Brokers said the market was in over bought position following recent record setting spree and fell on profit selling in banking stocks following a slide in bonds. They said the falling trend was partially checked as healthcare, FMCG and metal stocks gained on selective buying at the fag-end by retail investors. In 30-BSE index components, 17 stocks declined led by Reliance Industries, ICICI Bank, Axis Bank, State Bank of India, HDFC Bank, Bajaj Auto, Bharti Airtel and BHEL.",Negative
50,Indian Shares Fall On Profit Taking,http://www.nasdaq.com/article/indian-shares-fall-on-profit-taking-20140403-00167,NASDAQ,"Coal India, Gail India and BHEL fell 2-3 percent. Bharti Airtel dropped 1.3 percent. The telecom operator extended a contract with IBM to manage Airtel's IT infrastructure and application services in the country for five years. Tata Steel fell 1 ...",2014-04-03T11:08:10Z,"India's service sector activity contracted for the ninth straight month in March amid easing demand and difficult economic climate, survey results from Markit Economics showed. The headline index fell to a three-month low of 47.5 from 48.8 in the previous month. The benchmark S&P BSE Sensex hit a record high of 22,620.65 earlier in the day before reversing gains to end down 42.42 points or 0.19 percent at 22,509.07. Similarly, the broader CNX Nifty index hit another record high of 6.776.75 before closing down 16.45 points or 0.24 percent at 6,736.10. Banks ended mostly lower, with ICICI Bank losing 0.6 percent and SBI declining 2 percent after the Reserve Bank of India clarified the time limit for spreading bond losses held under banks' mark-to-market portfolios had lapsed on March 31. Axis Bank dropped 2 percent as the private sector lender raised $30.6 million through senior notes in the international market. Coal India, Gail India and BHEL fell 2-3 percent. Bharti Airtel dropped 1.3 percent. The telecom operator extended a contract with IBM to manage Airtel's IT infrastructure and application services in the country for five years.",Negative
